code_insee,nom_standard,dep_code,dep_nom,reg_code,reg_nom,population,latitude_mairie,longitude_mairie,niveau_equipements_services_texte,url_wikipedia,priorite_analyse,statut_analyse,derniere_analyse,prochaine_analyse,commentaire_veille
44159,Saint-Fiacre-sur-Maine,44,Loire-Atlantique,52,Pays de la Loire,1251,47.143,-1.416,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Fiacre-sur-Maine,faible,jamais_analysee,,,
44039,Cheix-en-Retz,44,Loire-Atlantique,52,Pays de la Loire,1182,47.182,-1.815,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Cheix-en-Retz,faible,jamais_analysee,,,
44207,Trans-sur-Erdre,44,Loire-Atlantique,52,Pays de la Loire,1156,47.477,-1.372,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Trans-sur-Erdre,faible,jamais_analysee,,,
44138,Puceul,44,Loire-Atlantique,52,Pays de la Loire,1142,47.521,-1.62,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Puceul,faible,jamais_analysee,,,
44016,La Boissière-du-Doré,44,Loire-Atlantique,52,Pays de la Loire,1106,47.232,-1.218,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Boissière-du-Doré,faible,jamais_analysee,,,
44019,Bouée,44,Loire-Atlantique,52,Pays de la Loire,1097,47.32,-1.91,commune non pôle,https://fr.wikipedia.org/wiki/fr:Bouée (Loire-Atlantique),faible,jamais_analysee,,,
44086,Lusanger,44,Loire-Atlantique,52,Pays de la Loire,1074,47.682,-1.589,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Lusanger,faible,jamais_analysee,,,
44044,Conquereuil,44,Loire-Atlantique,52,Pays de la Loire,1061,47.625,-1.75,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Conquereuil,faible,jamais_analysee,,,
44134,Pouillé-les-Côteaux,44,Loire-Atlantique,52,Pays de la Loire,1033,47.456,-1.163,commune non pôle,https://fr.wikipedia.org/wiki/fr:Pouillé-les-Côteaux,faible,jamais_analysee,,,
44123,Pierric,44,Loire-Atlantique,52,Pays de la Loire,1010,47.687,-1.736,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Pierric,faible,jamais_analysee,,,
